,shop_id,offer_id,min_price,max_price,min_profitability,max_profitability
0,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,295.0,592.8,,
1,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C6-10M-G,460.68,965.9,,
2,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-15M-G,507.08,722.8,,
3,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-25M-G,619.0,903.5,,
4,479580b8-30b1-4ace-9da1-77649e3c39ee,2HDMI1.4P-7M-G,500.0,637.68,,
5,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C6-0.5M-G,183.0,250.37,,
6,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C6-1M-G,203.0,275.43,,
7,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C6-2M-G,240.0,322.42,,
8,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C6-3M-G,281.0,373.5,,
9,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C6-5M-G,364.0,588.0,,
10,479580b8-30b1-4ace-9da1-77649e3c39ee,mHDM-HDMI1.3-1.5M-G,387.0,512.0,,
11,479580b8-30b1-4ace-9da1-77649e3c39ee,2HDMI1.4P-0.5M-G,174.0,234.9,,
12,479580b8-30b1-4ace-9da1-77649e3c39ee,2HDMI1.4P-1.5M-G,208.0,281.76,,
13,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C6-U-TWCS/100,837.0,1061.0,,
14,479580b8-30b1-4ace-9da1-77649e3c39ee,2HDMI1.4P-2M-G,225.0,302.01,,
15,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C6-U-TWCS/50,459.0,588.0,,
16,479580b8-30b1-4ace-9da1-77649e3c39ee,2HDMI1.4P-5M-G,331.0,451.82,,
17,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C6-SH-TWCS/20,277.0,367.0,,
18,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-0.5M-G,129.0,184.33,,
19,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C5E-U-H-TWCS/100,443.0,567.0,,
20,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C6-15M-G,550.24,1309.1,,
21,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-20M-G,590.56,824.2,,
22,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C6-20M-G,667.88,1469.0,,
23,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C6-25M-G,765.18,1732.9,,
24,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-30M-G,624.0,1043.9,,
25,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C6-30M-G,1233.0,2060.5,,
26,479580b8-30b1-4ace-9da1-77649e3c39ee,LSA-U-C-09-TWCS,213.0,286.0,,
27,479580b8-30b1-4ace-9da1-77649e3c39ee,LSA-D-C-09-TWCS,208.0,280.0,,
28,479580b8-30b1-4ace-9da1-77649e3c39ee,J-6P4C-2P-TWCS,136.0,190.0,,
29,479580b8-30b1-4ace-9da1-77649e3c39ee,J-6P4C-1P-TWCS,121.0,171.0,,
30,479580b8-30b1-4ace-9da1-77649e3c39ee,J-8P8C-C5е-SH-1P-TWCS,245.0,326.0,,
31,479580b8-30b1-4ace-9da1-77649e3c39ee,J-8P8C-C5е-SH-2P-TWCS,347.0,470.0,,
32,479580b8-30b1-4ace-9da1-77649e3c39ee,J-8P8C-C6-SH-1P-TWCS,388.0,513.0,,
33,479580b8-30b1-4ace-9da1-77649e3c39ee,J-8P8C-C5E-1P-TWCS,202.0,272.0,,
34,479580b8-30b1-4ace-9da1-77649e3c39ee,J-8P8C-C6-1P-TWCS,254.0,337.0,,
35,479580b8-30b1-4ace-9da1-77649e3c39ee,J-8P8C-C5E-2P-TWCS,278.0,366.0,,
36,479580b8-30b1-4ace-9da1-77649e3c39ee,J-8P8C-C6-2P-TWCS,348.0,470.0,,
37,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C5E-U-TWCS/100,392.0,520.0,,
38,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C5E-U-TWCS/20,191.0,259.0,,
39,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C5E-U-TWCS/50,295.0,390.0,,
40,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C5E-S-TWCS/100,803.0,1017.0,,
41,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C5E-S-TWCS/20,258.0,357.0,,
42,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C5E-S-TWCS/50,473.0,604.0,,
43,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-6P4C-U-TWCS/100,257.0,354.0,,
44,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-6P4C-U-TWCS/50,187.0,255.0,,
45,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-3M-G,160.0,223.17,,
46,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-5M-G,188.0,320.0,,
47,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C6-U-TWCS/20,273.0,363.0,,
48,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C6-SH-TWCS/100,913.0,1152.0,,
49,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C6-SH-TWCS/50,506.0,645.0,,
50,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C5E-U-H-TWCS/20,199.0,270.0,,
51,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-8P8C-C5E-U-H-TWCS/50,311.0,411.0,,
52,479580b8-30b1-4ace-9da1-77649e3c39ee,2RCA-3.5-1.2M,161.0,221.0,,
53,479580b8-30b1-4ace-9da1-77649e3c39ee,2RCA-3.5-5M,262.0,349.0,,
54,479580b8-30b1-4ace-9da1-77649e3c39ee,2HDMI1.4P-3M-G,253.0,338.29,,
55,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-1.5M-G,133.0,188.42,,
56,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-6P2C-U-TWCS/20,117.0,167.0,,
57,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-6P2C-U-TWCS/50,146.0,203.0,,
58,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-6P6C-U-TWCS/20,147.0,204.0,,
59,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-4P4C-U-TWCS/100,298.0,393.0,,
60,479580b8-30b1-4ace-9da1-77649e3c39ee,CN-4P4C-U-TWCS/20,136.0,191.0,,
61,479580b8-30b1-4ace-9da1-77649e3c39ee,2RCA-3.5-3M,177.0,242.0,,
